5 Star Rating,Author name,Review Header,Review
5,Caeo29 ,     Kaufempfehlung geht raus    ," Das Produkt erfüllt alles meine Ansprüche,  Brennt lang, riecht angenehm und sieht schick aus. "
5,Melina56 ,     Einfach toll    ," Der Duft einfach betörend und die Brenndauer ist auch lang.Perfekt für jedes Wohnzimmer, Küche oder Schlafzimmer, um einen schönen Duft zu verbreiten :D "
3,Anne ,     nicht sehr zu empfehlen    , Die Kerze erfüllt nicht meine Erwartungen. Der Duft ist viel zu schwach! 
5,Mary ,     Sehr schön    ," Riecht gut und nicht zu stark, leichtes duft der erfrischend ist. "
5,Amy90 ,     Ein toller duft    , Ich habe schon ganz lange nur die Kerzen von grade sie haben den besten und langanhaltenden Duft von allen er riecht sehr frisch und blumig fruchtig. Genau das richtige für uns fürs bad 
5,Butterblümchen ,     Dufterlebnis    ," Eine wirklich gelungene Duftkreation, die eine angenehme Stimmung schafft. Ich kann dieses Produkt sehr empfehlen und werde es wieder kaufen. "
5,Tiffany 2000 ,     Kerze    , Das Produkt hat vielversprechend geduftet und bei weitem meine Erwahrtungen erfüllt. Ein wunderbarer Duft. 
1,MariMar ,     Geldverschwendung    ," Wenn man direkt an der kalten Kerze riecht, ist der Duft super. Leider verströmt diese so gut wie gar keinen Duft beim Brennen, schade. "
5,Pinksummer ,     Tolle Kerze    ," Ich bin begeistert von der Kerze, sie dufte so tollWenn sie aus ist duftet der ganze Raum danach Sie ist ihren Preis wert und hält sehr langeKaufempfehlung "
5,Jule-lili ,     Ganz toller Duft    , Ich kaufe gerne Duftkerzen im neutralen Glas für mich zu Hause oder auch zum verschenken. Diese Kerze riecht ganz lecker und nicht zu stark. 
5,Elli89 ,     Riecht gut    , Finde es riecht gut und passt gut zum Frühling. Hab die Kerze mir jetzt schon zum zweiten Mal geholt. 
5,MedMsa ,     Riecht einfach angenehm    , Nicht zu stark aber doch intensiv genug. Einfach ein richtig schöner Sommer / Frühlingsduft 
4,Nele ,     Sehr empfehlenswert.    ," Dezenter Geruch, schöne Farbe ... brennt allerdings nicht gleichmäßig ab. "
5,Nora87 ,     Riecht super und lange    , Entspricht voll meinen Erwartungen ich würde es jederzeit wieder kaufen 
5,Stone48 ,     Zu empfehlen    , Toller Duft. Das Produkt erfüllt in jeder Hinsicht meine Erwartungen 
5,Emma12 ,     Macht den Raum gemütlich    ," Einfach ein unglaublich toller Duft, der den ganzen Raum verzaubert "
5,Tweety ,     Sehr empfehlenswert    ," Duftet sehr gut, würde ich beim nächsten Mal wieder kaufen "
5,Sandra ,     Liebe den Duft    ," Ich liebe diese Kerze, sie riecht so schön nach Frühling. "
5,Stella ,     Nur zu empfehlen!    , Alles top ! Sehr schöner Geruch ! Würde wieder kaufen! 
4,Luli ,     Guter duft    , Angenehmer Duft brennt leider nur nicht vollständig ab 
5,Schnecke 73 ,     Unuebertrefflich...    ," Sehr guter blumige Duft, der den ganzen Raum erfüllt. "
